record_id,serial,serial_number,band,column,designation,sheet_name,revision_year,published_year,projection,ellipsoid,identifier,provenance,scale_denominator,bbox_west,bbox_east,bbox_south,bbox_north,width_deg,height_deg,title,url
oai:u-bordeaux-montaigne.fr:340507,LXVIII,68,9,33,B9-C33,Ksar Tlili,,1928,,,07-08-02-059,partner,50000,8.68722,9.04722,35.46000,35.64889,0.3600,0.1889,"Tunisie Flle. N° LXVIII-B9-C33, Ksar Tlili / dressé, héliogravé et publié par le Service Géographique de l'Armée en 1928",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340507
oai:u-bordeaux-montaigne.fr:340508,LXIX,69,9,34,B9-C34,Sbiba,,1928,,,07-08-02-062,partner,50000,9.03833,9.39806,35.44194,35.63083,0.3597,0.1889,"Tunisie Flle. N° LXIX-B9-C34, Sbiba / dressé, héliogravé et publié par le Service Géographique de l'Armée en 1928",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340508
oai:u-bordeaux-montaigne.fr:340509,LXX,70,9,35,B9-C35,Djebel Trozza,,1929,,,07-08-02-066,partner,50000,9.38917,9.74917,35.42389,35.61278,0.3600,0.1889,"Tunisie Flle. N° LXX-B9-C35, Djebel Trozza / dessiné, héliogravé et publié par le Service Géographique de l'Armée en 1929",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340509
oai:u-bordeaux-montaigne.fr:340510,LXXI,71,9,36,B9-C36,Pavillier,,1927,,,07-08-02-069,partner,50000,9.75806,10.10000,35.40000,35.58333,0.3419,0.1833,"Tunisie Flle. N° LXXI-B9-C36, Pavillier / dressé, héliogravé et publié par le Service géographique de l'Armée en 1923 (révision partielle en 1927)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340510
oai:u-bordeaux-montaigne.fr:340511,LXXII,72,9,37,B9-C37,Oued Cherita,,1931,,,07-08-02-071,partner,50000,10.09111,10.45111,35.36667,35.56667,0.3600,0.2000,"Tunisie Flle. N° LXXII-B9-C37, Oued Cherita / dessiné, héliogravé et publié par le Service Géographique de l'Armée en 1922 (Complété en 1931)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340511
oai:u-bordeaux-montaigne.fr:340512,LXXIII,73,9,38,B9-C38,Kerker,,1931,,,07-08-02-073,partner,50000,10.45111,10.80222,35.35000,35.55000,0.3511,0.2000,"Tunisie Flle. N° LXXIII-B9-C38, Kerker / dessiné, héliogravé et publié par le Service Géographique de l'Armée (Complété en 1931)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340512
oai:u-bordeaux-montaigne.fr:340513,LXXV,75,10,32,B10-C32,Djebel Bireno,,1930,Bonne,Clarke 1880,07-08-02-077,partner,50000,8.32722,8.67806,35.29778,35.48694,0.3508,0.1892,"Tunisie Flle. N° LXXV-B10-C32, Djebel Bireno / dressé, heliogravé et publié par le Service géographique de l'armée en 1930",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340513
oai:u-bordeaux-montaigne.fr:340514,LXXVI,76,10,33,B10-C33,Djebel Semmama,,1930,,,07-08-02-079,partner,50000,8.67806,9.02917,35.28000,35.46889,0.3511,0.1889,"Tunisie Flle. N° LXXVI-B10-C33, Djebel Semmama / dressé, héliogravé et publié au Service Géographique de l'Armée en 1930",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340514
oai:u-bordeaux-montaigne.fr:340515,LXXVII,77,10,34,B10-C34,Djebel Mrhila,,1932,Bonne,Clarke 1880,07-08-02-081,partner,50000,9.38028,9.69583,35.26194,35.45083,0.3156,0.1889,"Tunisie Flle. N° LXXVII-B10-C34, Djebel Mrhila / dessiné, héliogravé et publié par le Service Géographique de l'Armée en 1932",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340515
oai:u-bordeaux-montaigne.fr:340516,LXXVIII,78,10,35,B10-C35,Hadjeb el Aïoun,,1933,,,07-08-02-083,partner,50000,9.36667,9.71667,35.23333,35.41667,0.3500,0.1833,"Tunisie Flle. N° LXXVIII-B10-C35, Hadjeb el Aïoun / dressé, héliogravé et publié par le Service géographique de l'Armée en 1933",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340516
oai:u-bordeaux-montaigne.fr:340527,LXXIX,79,10,36,B10-C36,Nasr Allah,,1934,Bonne,Clarke 1880,07-08-02-086,partner,50000,9.73111,10.08222,35.21667,35.40000,0.3511,0.1833,"Tunisie Flle. N° LXXIX-B10-C36, Nasr Allah / dressé, héliogravé et publié par le Service géographique de l'armée en 1934",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340527
oai:u-bordeaux-montaigne.fr:340528,LXXX,80,10,37,B10-C37,Chorbane,,1934,,,07-08-02-089,partner,50000,10.08222,10.43333,35.18333,35.36667,0.3511,0.1833,"Tunisie Flle. N° LXXX-B10-C37, Chorbane / dressé, héliogravé et publié au Service géographique de l'Armée en 1934",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340528
oai:u-bordeaux-montaigne.fr:340529,LXXXI,81,10,38,B10-C38,El Djem,,1931,,,07-08-02-091,partner,50000,10.43333,10.78333,35.16667,35.36667,0.3500,0.2000,"Tunisie Flle. N° LXXXI-B10-C38, El Djem / dessiné, héliogravé et publié par le Service Géographique de l'Armée (Complété en 1931)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340529
oai:u-bordeaux-montaigne.fr:340530,LXXXII,82,10,39,B10-C39,Chebba,,1925,,,07-08-02-093,partner,50000,10.77528,11.13528,35.14472,35.34278,0.3600,0.1981,"Tunisie Flle. N° LXXXII-B10-C39, Chebba / dressé, héliogravé et publié par le Service géographique de l'Armée (complété en 1925)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340530
oai:u-bordeaux-montaigne.fr:340531,LXXXIII,83,11,32,B11-C32,Bou Chebka,,1939,,,07-08-02-096,partner,50000,8.30917,8.66917,35.11778,35.30694,0.3600,0.1892,"Tunisie Flle. N° LXXXIII-B11-C32, Bou Chebka / dressé, dessiné et publié par le Service géographique de l'Armée en 1939",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340531
oai:u-bordeaux-montaigne.fr:340532,LXXXIV,84,11,33,B11-C33,Kasserine,,1936,,,07-08-02-099,partner,50000,8.66028,9.02028,35.10000,35.28889,0.3600,0.1889,"Tunisie Flle. N° LXXXIV-B11-C33, Kasserine / dressé, héliogravé et publié par le Service Géographique de l'Armée en 1936",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340532
btv1b53060313z,,,,,,,,,,,,bnf,50000,,,,,,,"Environs du Kef / dressé, héliogravé et publié par le service géographique de l'Armée",https://gallica.bnf.fr/ark:/12148/btv1b53060313z
oai:u-bordeaux-montaigne.fr:340629,,,,,,,,,,,07-09-05-08,partner,50000,10.35000,10.61667,33.21667,33.41667,0.2667,0.2000,"[Carte de Tunisie 1:50 000] / dressé, héliogravé et publié par le Service géographique de l'Armée (révisé en 1933)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340629
oai:u-bordeaux-montaigne.fr:340616,,,,,,,,,,,07-09-05-02,partner,50000,10.55000,10.90000,34.65000,34.83333,0.3500,0.1833,"Environs de Sfax / dressé, héliogravé et publié par le Service géographique de l'Armée",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340616
btv1b53233066w,,,,,,,,1862,,,,bnf,50000,,,,,,,"Restauration des Aqueducs de Carthage. / Royaume de Tunis ; [par P. Colin, ingénieur civil, chevalier de la Légion d'honneur]",https://gallica.bnf.fr/ark:/12148/btv1b53233066w
btv1b53029646j,,,,,,,,1898,,,,bnf,50000,,,,,,,Environs de Bizerte,https://gallica.bnf.fr/ark:/12148/btv1b53029646j
btv1b530294979,,,,,,,,1898,,,,bnf,50000,,,,,,,Environs de Tunis,https://gallica.bnf.fr/ark:/12148/btv1b530294979
btv1b8445503p,,,,,,,,1911,,,,bnf,50000,,,,,,,"Environs de Medenine / Dressé, héliogravé et publié par le Service géographique de l'Armée",https://gallica.bnf.fr/ark:/12148/btv1b8445503p
btv1b53066570x,,,,,,,,1929,,,,bnf,50000,,,,,,,Manoeuvres d'Algérie-Tunisie. 1929,https://gallica.bnf.fr/ark:/12148/btv1b53066570x
btv1b8459188x,,,,,,,,1934,,,,bnf,50000,,,,,,,"Environs de Medenine. Dressé / héliogravé et publié par le Service géographique de l'armée, Revisé en 1933",https://gallica.bnf.fr/ark:/12148/btv1b8459188x
oai:u-bordeaux-montaigne.fr:340627,,,,,,,1934,1941,,,07-09-05-03,partner,50000,8.58333,8.93333,34.31667,34.48333,0.3500,0.1667,"[Tunisie au 1:50 000] / dressé, héliogravé et publié par le Service Géographique de l'Armée (révision de 1934)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340627
oai:u-bordeaux-montaigne.fr:340628,,,,,,,,1940,,,07-09-05-05,partner,50000,9.93333,10.18333,33.76667,33.98333,0.2500,0.2167,"[Carte de Tunisie 1:50 000] / dressé, héliogravé et publié par le Service géographique de l'Armée (révisée en 1933)",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340628
oai:u-bordeaux-montaigne.fr:340533,XC,90,,,,Djebeniana,,1940,Bonne,Clarke 1880,07-08-02-110,partner,50000,10.75722,11.11722,34.96500,35.16278,0.3600,0.1978,"Tunisie Flle. N° XC, Djebeniana / dressé, dessiné et publié par le Service Géographique de l'Armée en 1940",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340533
oai:u-bordeaux-montaigne.fr:340534,,,,,,,,1941,,,07-08-02-145,partner,50000,10.03722,10.43333,33.37194,33.57889,0.3961,0.2069,"Tunisie : coupure spéciale / dressé, dessiné par le Service Géographique de l'Armée en 1939-1940",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340534
oai:u-bordeaux-montaigne.fr:340535,,,,,,,,1941,,,07-08-02-146,partner,50000,10.05528,10.45111,33.57000,33.77694,0.3958,0.2069,"Tunisie coupure spéciale, Mareth / dressé, dessiné par le Service géographique de l'Armée en 1939-40",https://1886.u-bordeaux-montaigne.fr/s/1886/item/340535
oai:u-bordeaux-montaigne.fr:340615,,,,,,,,1946,,,07-09-05-01,partner,50000,9.98333,10.46667,36.68333,36.85000,0.4833,0.1667,Environs de Tunis / publié par le Service géographique de l'Armée,https://1886.u-bordeaux-montaigne.fr/s/1886/item/340615
