adm4_pcode,imada,delegation,gouvernorat,area_sqkm,tribes_n,tribes
TN136055,Sidi Frej,M'Hamdia,Ben Arous,72.64,1,Ouled Khiar
TN176056,Ain Ghelal,Utique,Bizerte,45.07,1,Trabelsi
TN175457,Amaden,Sejnane,Bizerte,145.76,1,Mogod
TN175556,Berraies,Joumine,Bizerte,113.55,1,Riah
TN175758,Bou Jerir,Ghazala,Bizerte,24.86,1,Hezil
TN175857,Chelagmia,Menzel Bourguiba,Bizerte,7.06,1,Makna
TN175656,Cite Essadaka,Mateur,Bizerte,0.98,1,Makna
TN175753,Dheouaouda,Ghazala,Bizerte,42.43,1,Hezil
TN175752,El Arab,Ghazala,Bizerte,52.77,1,Hezil
TN175454,El Hachachna,Sejnane,Bizerte,56.3,1,Mogod
TN176055,El Mabtouh,Utique,Bizerte,99.22,1,Trabelsi
TN175855,En-Najah (2),Menzel Bourguiba,Bizerte,1.99,1,Makna
TN175953,Ez-Zarour,Tinja,Bizerte,49.79,1,Makna
TN175853,Gabtna (2),Menzel Bourguiba,Bizerte,60.1,1,Makna
TN175555,Kef Ghrab,Joumine,Bizerte,98.69,1,Riah
TN175651,Mateur,Mateur,Bizerte,8.34,1,Makna
TN175653,Mateur Sud,Mateur,Bizerte,0.26,1,Makna
TN175655,Nefat,Mateur,Bizerte,76.55,1,Makna
TN175755,Ouled El May,Ghazala,Bizerte,62.2,1,Hezil
TN175757,Rakb,Ghazala,Bizerte,48.08,1,Hezil
TN175756,Sidi Aissa,Ghazala,Bizerte,39.12,1,Hezil
TN175759,Sidi Mansour,Ghazala,Bizerte,46.27,1,Hezil
TN176057,Sidi Othman,Utique,Bizerte,26.67,1,Trabelsi
TN175554,Tahent,Joumine,Bizerte,84.22,1,Hezil
TN175951,Tinja,Tinja,Bizerte,6.96,1,Makna
TN215552,Ain El Karma,Téboursouk,Béja,8.71,1,Zouagha
TN215556,Ain El Melliti,Téboursouk,Béja,48.76,1,Zouagha
TN215855,Bir El Euch,Goubellat,Béja,51.89,1,Drid
TN215560,Bir Ettouta,Téboursouk,Béja,59.24,1,Zouagha
TN215957,Chaouach,Mejez El Bab,Béja,21.79,1,Riah
TN215954,El Ksar,Mejez El Bab,Béja,64.92,1,Riah
TN215358,El Mejaless,Amdoun,Béja,13.08,1,Chehida
TN215553,El Menchia,Téboursouk,Béja,17.96,1,Zouagha
TN215961,Hidouss,Mejez El Bab,Béja,49.38,1,Riah
TN215856,Kheniguet Ed-Dahane,Goubellat,Béja,33.53,1,Drid
TN215259,Mestouta,Béja Sud,Béja,39.69,1,Zouagha
TN215555,Rihana,Téboursouk,Béja,49.65,1,Zouagha
TN215357,Sabah,Amdoun,Béja,10.34,1,Zouagha
TN215761,Sidi Abdelaziz,Testour,Béja,86.87,1,Riah
TN215959,Sidi Ahmed El Jedidi,Mejez El Bab,Béja,21.52,1,Riah
TN215762,Sidi Ameur,Testour,Béja,96.65,1,Riah
TN215956,Tokaber,Mejez El Bab,Béja,27.91,1,Riah
TN215351,Zahret Medien,Amdoun,Béja,9.54,1,Zouagha
TN215755,Zeldou,Testour,Béja,72.97,1,Zouagha
TN616052,Belkhir,Belkhir,Gafsa,175.99,1,Hammama — Oulad Aziz
TN616053,Et-Talh Est,Belkhir,Gafsa,154.83,1,Hammama — Oulad Aziz
TN616054,Et-Talh Ouest,Belkhir,Gafsa,136.44,1,Hammama — Oulad Aziz
TN616055,Jbilet Ouest,Belkhir,Gafsa,80.06,1,Hammama — Oulad Aziz
TN225962,Boulaaba,Balta Bou Aouane,Jendouba,31.02,1,Ghezoran
TN225251,El Ferdous,Jendouba Nord,Jendouba,20.81,1,Hakim
TN225252,El Hedi Ben Hassine,Jendouba Nord,Jendouba,5.39,1,Hakim
TN225254,El Khadhra,Jendouba Nord,Jendouba,31.49,1,Hakim
TN225161,El-Jerif,Jendouba Sud,Jendouba,38.53,1,Hakim
TN225153,En-Nour,Jendouba Sud,Jendouba,0.92,1,Hakim
TN225154,Es-Saada,Jendouba Sud,Jendouba,37.78,1,Hakim
TN225151,Ezzeghaida,Jendouba Sud,Jendouba,1.81,1,Hakim
TN225152,Jendouba Sud,Jendouba Sud,Jendouba,2.2,1,Hakim
TN415355,Abida,Chebika,Kairouan,73.15,1,Zlass
TN415559,Ain Djeloula,Oueslatia,Kairouan,95.3,1,Zlass
TN415265,Beriket El Argoub,Kairouan Sud,Kairouan,19.82,1,Zlass
TN416052,Bir El Helou,Chrarda,Kairouan,63.15,1,Ouled Redouan
TN416160,Bir Msikine,Bouhajla,Kairouan,40.82,1,Zlass
TN415853,Chaouachi,Hajeb El Ayoun,Kairouan,87.59,1,Zlass
TN416163,Cheraitia Nord,Bouhajla,Kairouan,71.58,1,Oulad Khalifa
TN415656,Cherichira,Haffouz,Kairouan,120.6,1,Zlass
TN415463,Chogafia,Sbikha,Kairouan,90.4,1,Zlass
TN416164,Chouamekh,Bouhajla,Kairouan,34.64,1,Zlass
TN415558,Djebel Erreihane,Oueslatia,Kairouan,71.94,1,Zlass
TN415557,Djebel Oouestat,Oueslatia,Kairouan,100.44,1,Zlass
TN415462,Ech-Chorfa,Sbikha,Kairouan,85.44,1,Zlass
TN416051,Echrarda,Chrarda,Kairouan,74.47,1,Ouled Redouan
TN415456,Ed-Dheriaat,Sbikha,Kairouan,106.95,1,Souassi
TN415751,El Alaa,Alaa,Kairouan,23.68,1,Zlass
TN415460,El Aouitha,Sbikha,Kairouan,52.99,1,Souassi
TN415753,El Guettar,Alaa,Kairouan,19.38,1,Zlass
TN415264,El Hammam,Kairouan Sud,Kairouan,37.13,1,Zlass
TN416155,El Ketitir,Bouhajla,Kairouan,48.84,1,Oulad Khalifa
TN415263,El Khadra,Kairouan Sud,Kairouan,22.51,1,Zlass
TN416055,El Ksour,Chrarda,Kairouan,65.83,1,Oulad Khalifa
TN415260,El Makhsouma,Kairouan Sud,Kairouan,42.42,1,Zlass
TN415752,El Messaid,Alaa,Kairouan,49.34,1,Zlass
TN416161,El Mouisset,Bouhajla,Kairouan,37.21,1,Zlass
TN415261,El Nebech,Kairouan Sud,Kairouan,44.64,1,Zlass
TN416159,Ennasr,Bouhajla,Kairouan,111.54,1,Zlass
TN415354,Errouisset,Chebika,Kairouan,119.43,1,Zlass
TN415854,Esserja,Hajeb El Ayoun,Kairouan,50.9,1,Zlass
TN415357,Hammed,Chebika,Kairouan,44.8,1,Zlass
TN415352,Jaouaouda,Chebika,Kairouan,64.9,1,Zlass
TN416153,Jehina Sud,Bouhajla,Kairouan,29.94,1,Oulad Khalifa
TN415754,Messiouta El Hanachir,Alaa,Kairouan,33.77,1,Zlass
TN415755,Messiouta Ennaguaz,Alaa,Kairouan,43.08,1,Zlass
TN415465,Oued El Khraouia,Sbikha,Kairouan,33.39,1,Souassi
TN415758,Ouled Amor,Alaa,Kairouan,25.33,1,Zlass
TN415255,Rakada,Kairouan Sud,Kairouan,28.94,1,Zlass
TN415756,Sayada Nord,Alaa,Kairouan,60.01,1,Zlass
TN415757,Sayada Sud,Alaa,Kairouan,52.84,1,Zlass
TN415356,Sidi Ali Ben Salem,Chebika,Kairouan,30.32,1,Zlass
TN415461,Sisseb,Sbikha,Kairouan,53.61,1,Souassi
TN415759,Tarza Nord,Alaa,Kairouan,53.87,1,Zlass
TN415262,Zaafrana,Kairouan Sud,Kairouan,113.57,1,Zlass
TN415556,Zaghdoud,Oueslatia,Kairouan,176.33,1,Zlass
TN426262,Abdeladhim,Feriana,Kassérine,119.67,1,Frechiche
TN426156,Afrane,Foussana,Kassérine,104.2,1,Frechiche
TN425753,Ain El Hamadna,Jedeliane,Kassérine,44.53,1,Mejers
TN426162,Ain El Jinene,Foussana,Kassérine,71.6,1,Frechiche
TN425856,Ain Esselsela,Ayoun,Kassérine,58.33,1,Mejers
TN425755,Ain Oum El Jedour,Jedeliane,Kassérine,62.86,1,Mejers
TN425655,Ain Zaiene,Sbiba,Kassérine,47.48,1,Mejers
TN426258,Bouchebka,Feriana,Kassérine,128.56,1,Frechiche
TN426161,Bouderiass,Foussana,Kassérine,81.09,1,Frechiche
TN426260,Bouhaya,Feriana,Kassérine,76.37,1,Frechiche
TN425552,Cite Essourour,Sbeitla,Kassérine,2.39,1,Mejers
TN425963,Ech-Chaffai,Thala,Kassérine,75.23,1,Frechiche
TN425557,Ech-Charaya,Sbeitla,Kassérine,69.14,1,Mejers
TN425953,Eddachra,Thala,Kassérine,70.07,1,Zeghalma
TN425556,Eddouleb,Sbeitla,Kassérine,104.66,1,Mejers
TN426158,El Aadhira,Foussana,Kassérine,65.31,1,Frechiche
TN425561,El Athar,Sbeitla,Kassérine,117.46,1,Mejers
TN425851,El Ayoun,Ayoun,Kassérine,70.45,1,Mejers
TN425854,El Baouajer,Ayoun,Kassérine,69.23,1,Mejers
TN425555,El Gounna,Sbeitla,Kassérine,103.18,1,Mejers
TN426159,El Hazza,Foussana,Kassérine,102.65,1,Frechiche
TN425957,El Joua,Thala,Kassérine,93.36,1,Mejers
TN425560,El Khadhra,Sbeitla,Kassérine,84.65,1,Mejers
TN425564,El Ksar,Sbeitla,Kassérine,27.15,1,Mejers
TN426053,El Mekimen,Hidra,Kassérine,97.16,1,Zeghalma
TN426157,El Meziraa,Foussana,Kassérine,72.15,1,Frechiche
TN426055,Es-Sray,Hidra,Kassérine,71.85,1,Frechiche
TN426151,Foussana,Foussana,Kassérine,21.96,1,Frechiche
TN426152,Foussana Lahouaz,Foussana,Kassérine,81.5,1,Frechiche
TN426257,Garet En-Naam,Feriana,Kassérine,120.21,1,Frechiche
TN426051,Hidra,Hidra,Kassérine,106.85,1,Frechiche
TN426054,Lajrad,Hidra,Kassérine,120.72,1,Frechiche
TN425558,Machrek Ech-Chams,Sbeitla,Kassérine,103.03,1,Mejers
TN425754,Mehrza,Jedeliane,Kassérine,35.25,1,Mejers
TN426259,Om Ali,Feriana,Kassérine,127.69,1,Frechiche
TN425559,Ouassaia,Sbeitla,Kassérine,142.25,1,Mejers
TN426155,Ouled Mahfoudh,Foussana,Kassérine,98.78,1,Frechiche
TN425551,Sbeitla,Sbeitla,Kassérine,6.57,1,Mejers
TN426052,T'Baga,Hidra,Kassérine,74.13,1,Frechiche
TN235955,Ain Fedhil,Ksour,Le Kef,136.01,1,Ouled Yakoub
TN236154,Bousliaa,Es Sers,Le Kef,72.11,1,Ouled Yakoub
TN235362,Chetatla,Nebeur,Le Kef,34.66,1,Djendouba
TN236052,Dahmani Nord,Dahmani,Le Kef,1.8,1,Khememsa
TN235851,Djerissa Centre,Jerissa,Le Kef,1.77,1,Zeghalma
TN235852,Djerissa Nord,Jerissa,Le Kef,1.85,1,Zeghalma
TN235853,Djerissa Sud,Jerissa,Le Kef,1.68,1,Zeghalma
TN236158,El Abar Est,Es Sers,Le Kef,24.01,1,Ouled Ayar
TN235655,El Falta,Kalaat Senan,Le Kef,51.9,1,Ouled bou Ghanem
TN235361,El Ksar,Nebeur,Le Kef,39.41,1,Hakim
TN236156,El Marja,Es Sers,Le Kef,39.92,1,Ouled Yakoub
TN236159,Elles,Es Sers,Le Kef,56.57,1,Ouled Yakoub
TN235856,Enneayem,Jerissa,Le Kef,35.63,1,Zeghalma
TN236151,Es-Sers Nord,Es Sers,Le Kef,70.22,1,Ouled Ayar
TN236152,Es-Sers Sud,Es Sers,Le Kef,37.61,1,Ouled Ayar
TN235153,Haouareth Sud,Kef Ouest,Le Kef,3.11,1,Ouartan
TN235356,Ledhieb,Nebeur,Le Kef,43.6,1,Hakim
TN235355,Mellala,Nebeur,Le Kef,70.23,1,Hakim
TN235560,Menzel Salem,Tajerouine,Le Kef,2.48,1,Doufan
TN235151,Oued Remel Nord,Kef Ouest,Le Kef,66.44,1,Ouartan
TN235653,Safsaf,Kalaat Senan,Le Kef,69.23,1,Zeghalma
TN235354,Sidi Khiar,Nebeur,Le Kef,68.09,1,Hakim
TN235552,Tajerouine Sud,Tajerouine,Le Kef,22.5,1,Doufan
TN236054,Thermda,Dahmani,Le Kef,82.44,1,Ouled Yakoub
TN235254,Zaafrane,Kef Est,Le Kef,117.75,1,Ouartan
TN335357,Bou Slim,Ouled Chamekh,Mahdia,32.23,1,Oulad Amer
TN335851,Chebba Nord,Chebba,Mahdia,39.79,1,M'Talith — Oulad Zid
TN335852,Chebba Sud,Chebba,Mahdia,48.79,1,M'Talith — Oulad Zid
TN335354,Chehimet Nord,Ouled Chamekh,Mahdia,27.13,1,Oulad Amer
TN335156,Chiba,Mahdia,Mahdia,19.25,1,M'Talith — Oulad Alia
TN335661,Ech-Chahimet Sud,Souassi,Mahdia,63.14,1,Oulad Amer
TN335457,Ech-Charaf,Chorbane,Mahdia,46.92,1,M'Talith
TN335760,El Achaba,El Jem,Mahdia,46.52,1,M'Talith — Oulad Merab
TN335754,El Aitha,El Jem,Mahdia,43.97,1,M'Talith — Oulad Merab
TN335952,El Aitha,Melloulech,Mahdia,21.54,1,M'Talith — Oulad Zid
TN335355,El Ajilet,Ouled Chamekh,Mahdia,52.99,1,Oulad Amer
TN336055,El Bassatine,Sidi Alouane,Mahdia,7.4,1,M'Talith — Oulad Alia
TN336162,El Bradaa Nord,Ksour Essef,Mahdia,22.07,1,M'Talith — Oulad Alia
TN336161,El Bradaa Sud,Ksour Essef,Mahdia,29.07,1,M'Talith — Oulad Alia
TN335455,El Gouacem Ouest,Chorbane,Mahdia,51.2,1,M'Talith
TN335459,El Gradha Est,Chorbane,Mahdia,34.83,1,M'Talith
TN335458,El Gradha Ouest,Chorbane,Mahdia,26.67,1,M'Talith
TN335163,El Hekaima Est,Mahdia,Mahdia,10.79,1,M'Talith — Oulad Alia
TN336160,El Hessinet,Ksour Essef,Mahdia,14.26,1,M'Talith — Oulad Alia
TN336151,El Ksar,Ksour Essef,Mahdia,7.91,1,M'Talith — Oulad Alia
TN336153,El Ktanine,Ksour Essef,Mahdia,21.16,1,M'Talith — Oulad Alia
TN335452,El Maati,Chorbane,Mahdia,26.59,1,M'Talith
TN335157,Es-Saad,Mahdia,Mahdia,25.5,1,M'Talith — Oulad Alia
TN335356,Es-Somra,Ouled Chamekh,Mahdia,36.3,1,Oulad Amer
TN335751,Es-Zaouia,El Jem,Mahdia,12.11,1,M'Talith — Oulad Merab
TN335159,Ez-Zahra,Mahdia,Mahdia,18.22,1,M'Talith — Oulad Alia
TN336156,Ghedabna,Ksour Essef,Mahdia,21.64,1,M'Talith — Oulad Alia
TN335551,Hebira,Hbira,Mahdia,51.66,1,M'Talith
TN336154,Ksour Essaf Ettakaddoum,Ksour Essef,Mahdia,25.44,1,M'Talith — Oulad Alia
TN336152,Ksour Essaf Riadh,Ksour Essef,Mahdia,2.92,1,M'Talith — Oulad Alia
TN335358,Meharza Nord,Ouled Chamekh,Mahdia,48.75,1,Oulad Amer
TN335552,Menzel Hached,Hbira,Mahdia,38.02,1,M'Talith
TN335353,Ouled Amor,Ouled Chamekh,Mahdia,42.05,1,Oulad Amer
TN335351,Ouled Chamekh Sud,Ouled Chamekh,Mahdia,61.39,1,Oulad Amer
TN335659,Ouled Moulahem Nord,Souassi,Mahdia,27.37,1,Oulad Amer
TN336157,Ouled Salah,Ksour Essef,Mahdia,15.52,1,M'Talith — Oulad Alia
TN336159,Recharcha,Ksour Essef,Mahdia,21.96,1,M'Talith — Oulad Alia
TN335553,Regaigua,Hbira,Mahdia,29.27,1,M'Talith
TN335154,Rejiche,Mahdia,Mahdia,8.38,1,M'Talith — Oulad Alia
TN335155,Rejiche Sud,Mahdia,Mahdia,7.04,1,M'Talith — Oulad Alia
TN336054,Sakiet El Khadem,Sidi Alouane,Mahdia,15.23,1,M'Talith — Oulad Alia
TN336155,Salakta,Ksour Essef,Mahdia,25.87,1,M'Talith — Oulad Alia
TN336052,Sidi Alouane Est,Sidi Alouane,Mahdia,9.03,1,M'Talith — Oulad Alia
TN336051,Sidi Alouane Ouest,Sidi Alouane,Mahdia,17.41,1,M'Talith — Oulad Alia
TN336158,Sidi Assaker Ouest,Ksour Essef,Mahdia,12.64,1,M'Talith — Oulad Alia
TN335160,Zegana,Mahdia,Mahdia,17.67,1,M'Talith — Oulad Alia
TN335756,Zeghabna,El Jem,Mahdia,46.56,1,M'Talith — Oulad Merab
TN336053,Zorda,Sidi Alouane,Mahdia,32.72,1,M'Talith — Oulad Alia
TN335153,Zouila Sud,Mahdia,Mahdia,2.32,1,M'Talith — Oulad Alia
TN145755,Banlieue De Tebourba,Tebourba,Manubah,7.7,1,Trabelsi
TN145553,Borj Ennour,Borj El Amri,Manubah,38.4,1,Trabelsi
TN145852,Borj Ettoumi,El Battan,Manubah,60.82,1,Riah
TN145653,Chaouat,Jedaida,Manubah,81.95,1,Trabelsi
TN145651,Djedaida,Jedaida,Manubah,9.71,1,Trabelsi
TN145652,Djedaida Hached,Jedaida,Manubah,31.24,1,Trabelsi
TN145757,Ech-Chouigui,Tebourba,Manubah,122.2,1,Trabelsi
TN145753,Edkhila,Tebourba,Manubah,41.51,1,Trabelsi
TN145851,El Battane,El Battan,Manubah,36.99,1,Trabelsi
TN145454,El Fejja,Mornaguia,Manubah,124.28,1,Ouled Khiar
TN145754,El Mellaha,Tebourba,Manubah,42.59,1,Riah
TN145756,Er-Raja,Tebourba,Manubah,18.77,1,Trabelsi
TN145456,Hmaiem,Mornaguia,Manubah,58.2,1,Ouled Khiar
TN145552,Menzel Habib,Borj El Amri,Manubah,68.43,1,Trabelsi
TN145751,Tebourba,Tebourba,Manubah,5.81,1,Trabelsi
TN525152,02 Mai,Médenine Nord,Médenine,3.59,1,Ouerghemma
TN525154,20 Mars,Médenine Nord,Médenine,5.44,1,Ouerghemma
TN525956,Amra,Sidi Makhlouf,Médenine,61.85,1,Ouerghemma
TN525955,Bedoui,Sidi Makhlouf,Médenine,134.68,1,Ouerghemma
TN525151,Beni Ghezail,Médenine Nord,Médenine,65.32,1,Ouerghemma
TN525257,Darghoulia,Médenine Sud,Médenine,107.61,1,Ouerghemma
TN525959,El Ghabai,Sidi Makhlouf,Médenine,27.89,1,Ouerghemma
TN525253,El Labba,Médenine Sud,Médenine,99.65,1,Ouerghemma
TN525957,Er Ragouba Est,Sidi Makhlouf,Médenine,37.21,1,Ouerghemma
TN525958,Er Ragouba Ouest,Sidi Makhlouf,Médenine,47.0,1,Ouerghemma
TN525254,Hessi Amor,Médenine Sud,Médenine,68.62,1,Ouerghemma
TN525256,Hessi Mednine,Médenine Sud,Médenine,67.14,1,Ouerghemma
TN525158,Koutine,Médenine Nord,Médenine,49.54,1,Ouerghemma
TN525252,Mednine Est,Médenine Sud,Médenine,6.76,1,Ouerghemma
TN525155,Mednine Nord,Médenine Nord,Médenine,15.36,1,Ouerghemma
TN525153,Mednine Ouest,Médenine Nord,Médenine,4.14,1,Ouerghemma
TN525251,Mednine Sud,Médenine Sud,Médenine,11.34,1,Ouerghemma
TN525259,Nouvelle Amra,Médenine Sud,Médenine,41.77,1,Ouerghemma
TN525157,Oum Ettameur Est,Médenine Nord,Médenine,46.88,1,Ouerghemma
TN525156,Oum Ettameur Ouest,Médenine Nord,Médenine,144.01,1,Ouerghemma
TN525951,Sidi Makhlouf,Sidi Makhlouf,Médenine,38.59,1,Ouerghemma
TN156651,Sidi Djedidi,Hammamet,Nabeul,146.71,1,Ouled Saïd
TN156659,Yasmin Hammamet,Hammamet,Nabeul,7.52,1,Ouled Saïd
TN345751,Agareb,Agareb,Sfax,40.03,1,Aguerba
TN346555,Aithet Chelaia,Mahres,Sfax,86.41,1,Aguerba
TN345557,Ayoun El Mayel,Sfax Sud,Sfax,61.29,1,M'Talith — Nadjem
TN345454,Bedarna,Sakiet Eddaier,Sfax,76.31,1,M'Talith — Nadjem
TN345756,Ben Sahloun,Agareb,Sfax,118.02,1,Aguerba
TN346057,Bir Salah,Hencha,Sfax,37.95,1,M'Talith — Oulad Merab
TN345956,Bou Derbala,El Amra,Sfax,49.63,1,M'Talith — Nadjem
TN346152,Bou Jarboue,Menzel Chaker,Sfax,110.31,1,M'Talith — Nadjem
TN346354,Bou Slim,Bir Ali Ben Khélifa,Sfax,140.37,1,Aguerba
TN345753,Bouledhieb,Agareb,Sfax,85.88,1,Aguerba
TN345955,Dherra Beni Ziad,El Amra,Sfax,49.54,1,M'Talith — Nadjem
TN346054,Dokhane,Hencha,Sfax,34.2,1,M'Talith — Nadjem
TN346355,El Abraj,Bir Ali Ben Khélifa,Sfax,83.99,1,Aguerba
TN345556,El Aouabed,Sfax Sud,Sfax,33.06,1,M'Talith — Nadjem
TN346157,El Bokaa El Bidha,Menzel Chaker,Sfax,123.37,1,M'Talith — Nadjem
TN346358,El Gandoul,Bir Ali Ben Khélifa,Sfax,74.25,1,Neffat
TN346161,El Hadj Kacem,Menzel Chaker,Sfax,256.82,1,Ouled Redouan
TN346058,El Hajjara,Hencha,Sfax,42.0,1,M'Talith — Oulad Merab
TN346457,El Hammada,Skhira,Sfax,142.44,1,Mehadhba
TN346455,El Kenitra,Skhira,Sfax,68.07,1,Mehadhba
TN346452,El Khadhra,Skhira,Sfax,148.7,1,Mehadhba
TN345857,El Louza,Jebeniana,Sfax,14.98,1,M'Talith — Oulad Zid
TN345754,El Mahrouka,Agareb,Sfax,115.1,1,Aguerba
TN345953,El Mesatria,El Amra,Sfax,20.39,1,M'Talith — Meraïah
TN346362,En-Nadhour,Bir Ali Ben Khélifa,Sfax,175.75,1,Ouled el Goussem
TN346052,En-Nasr,Hencha,Sfax,83.76,1,M'Talith — Nadjem
TN345954,Es Salam,El Amra,Sfax,23.88,1,M'Talith — Nadjem
TN345755,Ettorba,Agareb,Sfax,134.08,1,Aguerba
TN345752,Gargour,Agareb,Sfax,91.12,1,Aguerba
TN346552,Mahres Sud,Mahres,Sfax,119.62,1,Aguerba
TN346153,Majel Edarj,Menzel Chaker,Sfax,70.43,1,M'Talith — Nadjem
TN346453,Naoual,Skhira,Sfax,168.98,1,Mehadhba
TN346361,Ouadrane Nord,Bir Ali Ben Khélifa,Sfax,88.51,1,Neffat
TN346360,Ouadrane Sud,Bir Ali Ben Khélifa,Sfax,136.56,1,Neffat
TN346359,Oued Ech-Cheikh,Bir Ali Ben Khélifa,Sfax,74.3,1,Neffat
TN346451,Sbih,Skhira,Sfax,53.39,1,Mehadhba
TN346456,Sidi Mohamed,Skhira,Sfax,126.67,1,Mehadhba
TN345356,Sidi Salah,Sakiet Ezzit,Sfax,63.44,1,M'Talith — Nadjem
TN346454,Skhira,Skhira,Sfax,201.05,1,Mehadhba
TN346159,Telil El Ajla,Menzel Chaker,Sfax,156.29,1,Ouled Redouan
TN435554,Bir Amama,Bir El Hfay,Sidi Bou Zid,51.56,1,Hammama
TN435957,Bir Badr,Souk Jedid,Sidi Bou Zid,65.89,1,Hammama
TN435559,Bir Bousbiaa,Bir El Hfay,Sidi Bou Zid,34.28,1,Hammama
TN436053,Bou Hedma,Mazzouna,Sidi Bou Zid,159.11,1,Hammama — Oulad Aziz
TN436158,Boudinar,Regueb,Sidi Bou Zid,73.3,1,Hammama
TN436252,Dheouibet Sud,Ouled Haffouz,Sidi Bou Zid,59.95,1,Ouled Redouan
TN435455,El Ayoun,Sabalat Ouled Asker,Sidi Bou Zid,72.52,1,Mejers
TN436058,El Besbes,Mazzouna,Sidi Bou Zid,232.2,1,Mehadhba
TN436052,El Founi,Mazzouna,Sidi Bou Zid,74.52,1,Neffat
TN435155,El Friou,Sidi Bouzid Ouest,Sidi Bou Zid,47.98,1,Hammama
TN435154,El Hichria,Sidi Bouzid Ouest,Sidi Bou Zid,71.4,1,Hammama
TN435851,El Jebbes,Meknassi,Sidi Bou Zid,90.8,1,Taïfa
TN436057,El Khaoui,Mazzouna,Sidi Bou Zid,44.66,1,Neffat
TN435754,El Khorchef,Menzel Bouzaiene,Sidi Bou Zid,94.07,1,Hammama
TN435553,El Ksar,Bir El Hfay,Sidi Bou Zid,66.81,1,Hammama
TN435555,El Mezara,Bir El Hfay,Sidi Bou Zid,66.71,1,Hammama
TN435757,El Omrane,Menzel Bouzaiene,Sidi Bou Zid,112.26,1,Hammama — Oulad Aziz
TN435652,Errabta,Sidi Ali Ben Aoun,Sidi Bou Zid,154.76,1,Hammama
TN436165,Essaida Est,Regueb,Sidi Bou Zid,57.37,1,Ouled el Goussem
TN436153,Essaida Nord,Regueb,Sidi Bou Zid,84.77,1,Ouled el Goussem
TN436164,Essaida Sud,Regueb,Sidi Bou Zid,55.29,1,Ouled el Goussem
TN435556,Essalama,Bir El Hfay,Sidi Bou Zid,39.25,1,Hammama
TN435956,Ezzafzaf,Souk Jedid,Sidi Bou Zid,60.45,1,Hammama
TN435262,Ezzitouna,Sidi Bouzid Est,Sidi Bou Zid,64.31,1,Hammama
TN435753,Kallel,Menzel Bouzaiene,Sidi Bou Zid,92.36,1,Hammama
TN436152,Khechem Ouest,Regueb,Sidi Bou Zid,33.97,1,Ouled el Goussem
TN436055,Khobna,Mazzouna,Sidi Bou Zid,228.3,1,Hammama — Oulad Aziz
TN435853,Mech,Meknassi,Sidi Bou Zid,63.01,1,Hammama — Oulad Aziz
TN435454,Meghila,Sabalat Ouled Asker,Sidi Bou Zid,69.26,1,Mejers
TN435854,Meknassy Est,Meknassi,Sidi Bou Zid,68.8,1,Taïfa
TN435856,Meknassy Nord,Meknassi,Sidi Bou Zid,41.76,1,Taïfa
TN436051,Mezzouna,Mazzouna,Sidi Bou Zid,79.96,1,Neffat
TN435557,Ourgha,Bir El Hfay,Sidi Bou Zid,50.02,1,Hammama
TN435558,Rahal,Bir El Hfay,Sidi Bou Zid,63.82,1,Hammama
TN436151,Regueb,Regueb,Sidi Bou Zid,11.93,1,Hammama
TN435354,Selta,Jelma,Sidi Bou Zid,80.59,1,Mejers
TN245655,Ain Achour,Bourouis,Siliana,66.92,1,Ouled Ayar
TN246056,Ain Bous Saadia,Bargou,Siliana,56.3,1,Ouled Aoun
TN245351,Banlieue De Bouarada,Bouarada,Siliana,66.21,1,Riah
TN246051,Bargou,Bargou,Siliana,1.17,1,Ouled Aoun
TN245352,Bouarada,Bouarada,Siliana,5.5,1,Riah
TN245651,Bourouis Nord,Bourouis,Siliana,6.55,1,Ouled Ayar
TN245652,Bourouis Sud,Bourouis,Siliana,79.38,1,Ouled Ayar
TN245654,El Abbassi,Bourouis,Siliana,60.81,1,Ouled Ayar
TN245456,El Ahouez Sud,Gaafour,Siliana,81.82,1,Ouled Aoun
TN245457,El Aksab,Gaafour,Siliana,82.1,1,Ouled Ayar
TN245153,El Arab,Siliana Nord,Siliana,76.87,1,Ouled Aoun
TN246058,El Behirin,Bargou,Siliana,43.07,1,Ouled Aoun
TN245958,El Foudhoul,Kesra,Siliana,56.25,1,Zlass
TN245851,El Hababsa Nord,Rouhia,Siliana,138.11,1,Zlass
TN245852,El Hababsa Sud,Rouhia,Siliana,98.98,1,Zlass
TN245853,El Jamilet,Rouhia,Siliana,77.43,1,Zlass
TN245156,El Jouii,Siliana Nord,Siliana,67.34,1,Ouled Ayar
TN245259,El Kabel,Siliana Sud,Siliana,71.72,1,Ouled Aoun
TN245453,El Khouat,Gaafour,Siliana,32.3,1,Ouled Ayar
TN245656,El Krib Gare,Bourouis,Siliana,23.06,1,Ouled Ayar
TN245552,El Krib Sud,El Krib,Siliana,67.26,1,Ouled Ayar
TN245653,Ettricha,Bourouis,Siliana,37.7,1,Ouled Ayar
TN245353,Fatis,Bouarada,Siliana,88.42,1,Drid
TN245451,Gaafour Est,Gaafour,Siliana,14.2,1,Ouled Aoun
TN245452,Gaafour Ouest,Gaafour,Siliana,22.99,1,Ouled Aoun
TN246053,Ouled Fredj,Bargou,Siliana,66.59,1,Ouled Aoun
TN245258,Ouled Zenag,Siliana Sud,Siliana,58.4,1,Ouled Aoun
